position_idx,position,match_title
1,Receptionist at The Salvation Army Marion Ohio,Receptionist
6,Customer Service Professional,Computer User Support Specialists - Customer Service Professional
7,Chemical and Materials Engineer,Chemical Engineer
8,Business Development Executive,Chief Executives - Business Development Executive
10,Certified Trainer Server at IHOP RESTAURANT,Restaurant Server
12,"Registered Dietitian Nutritionist, Certified Diabetes Care & Education Specialist",Dietitian
15,Site Coordinator at Magnit,Site Coordinator
16,"Substance Abuse Counselor at Center Point, Inc",Substance Abuse Counselor
18,Senior Accountant at Trailer Bridge,Accountant
19,Teacher at Irving High School,High School Teacher
20,Assistant Public Defender at Staunton Public Defender's Office,Public Defender
21,Aerospace Engineer,Aerospace Engineer
24,"Career Law Clerk, U.S. District Court",Career Law Clerk
25,Restaurant industry multi unit manager,Restaurant Manager
26,Global Finance Processes Director at CBRE,Finance Director
29,Business Development Assistant at Sheppard Mullin,Business Development Assistant
30,Broker at Insurance Force,Insurance Broker
31,General Manager of Purchasing at Levy Restaurants,Purchasing Manager
32,Communications and Content Specialist at FlowRider,Web Content Specialist
33,Chief Investment Officer | Organization Builder | Orthogonal Thinker,Chief
36,Manager,City Manager
37,Writer | Educator | Director/Actor,Actor
39,Manager at Napa Auto Parts,Auto Parts Manager
40,Area Manager at Enterprise Holdings Inc.,Area Manager
41,Student,"Education Administrators, Kindergarten through Secondary - Student Dean"
42,Assistant Director/Community Care at NYC Health + Hospitals,Health Director
44,"Manager, IT Service Delivery",Delivery Manager
45,2nd Lt United States Marine Corps,Marine
47,Commercial Driver and Diesel Technician,Commercial Driver
48,Accelerator Operator 1,Accelerator Operator
61,Assistant Professor at University of North Dakota,University Professor
62,Elementary Music Teacher at Poudre School District,Elementary School Teacher
65,Laboratory Technician | Biologist | Aquatic Scientist | Lab Operations | Sample Preparation,Aquatic Scientist
68,"Entrepreneurship Professor, investor, serial entrepreneur",Investor
70,Executive Director at Maryland Soccer Foundation,Executive Director
74,Instructional Assistant at Central School District,Instructional Assistant
76,Chief Financial Officer,Chief Financial Officer (CFO)
77,Electrical Engineer at Florida Power & Light Company,Electrical Engineer
78,Agricultural Science Teacher at Carthage High School,High School Science Teacher
79,"Director, Key Accounts at Marqeta, Inc",Director
80,Certified Occupational Therapy Assistant/ Licensed at Cornerstone VNA,Certified Occupational Assistant
83,Photographer at Keane Studios,Photographer
84,"Art Education, Technician and Documentation",Education Technician
86,Major Account Executive at Spectrum Enterprise,Account Executive
87,"Financial Advisor at Synovus Securities, Inc",Advisor
88,Post-Doctoral Research Assistant at University of Florida,Research Assistant (RA)
89,Architectural Designer & Project Manager,Architectural Project Manager
90,Baker/cook at NHC Ft. Sanders,Baker
94,"Senior Research Scientist at Institute for Disease Modeling, The Bill & Melinda Gates Foundation",Institute Scientist
95,Senior Account Executive at Angi,Account Executive
99,Cosmetologist,Cosmetologist
101,Founder and Executive Director at Entheos Transformational Coaching,Executive Director
106,Patient Safety and Just Culture Program Coordinator at Penn Medicine Lancaster General Health,Health and Safety Coordinator
107,Executive Director Facilities & Operations at Foothill-De Anza Community College District,Executive Director
109,Graduate Student at Seattle University,Graduate Student
111,"Professor of Chemical and Biological Engineering, Northwestern University",Chemical Engineering Professor
112,President and Principal Engineer,President
113,Interior Designer/Project Management/Sales,Project Designer
114,Biobehavioral Health Student at The Pennsylvania State University & Aspiring Genetic Counselor,University Counselor
116,Senior Software Engineer at Cognizant,Software Engineer
119,"Advertising, Leasing Manager, Public Relation communication",Leasing Manager
120,Professional Golfer,Golfer
121,Tax Manager at Creative Planning Business Services,Tax Manager
123,Criminal Justice major / Psychology (Cognitive Behavior and Neuroscience) Minor,Justice
124,"Project Engineer at FIP Construction, Inc.",Construction Project Engineer
125,Certified Professional Medical Coder,Certified Medical Coder
128,VIP Travel Counselor CWT Paramount,Travel Counselor
129,Cinematographer,"Camera Operators, Television, Video, and Film - Cinematographer"
131,Talent Acquisition Specialist,Talent Acquisition Specialist
133,Post Transplant Coordinator @ UMMS,Transplant Coordinator
136,Managing Director at PFM,Director
137,Sales and Marketing Manager,Marketing Managers - Sales and Marketing Manager
138,"Coordinator 1, Technical Product Sales Support at Comcast Business",Business Coordinator
139,"Jr. Web Developer | JavaScript, HTML and CSS| seeking Full Time Entry Level Job Opportunity.",C Developer
142,Director of Maintenance at The News-Gazette,Director
144,Superior Environmental Solution- Environmental Services Support,Superior
146,"Energy professional with demonstrated talents for leadership, teamwork, and business results.",Business Professional
147,Construction Manager at CES Consulting,Construction Manager
150,Maintenance Technician at PA Office of Attorney General,Attorney
151,Nurse Navigator,Nurse Navigator
153,Psychologist/Neuropsychologist,Neuropsychologists - Neuropsychologist
155,Intake Supervisor; Reporting at CEO (Commission on Economic Opportunity),Supervisor
156,Business Development Manager at Taktical Digital,Web Development Manager
157,Software Development Engineer II at Amazon,Software Development Engineer
161,"Real Estate Sales and Investment Consultant | Sales & Marketing Professional in Orlando, FL",Real Estate Consultant
163,Technology Source Partner Development Manager,Technology Manager
165,Computer Network Engineer,Computer Network Support Specialists - Cloud Engineer
170,Research Fellow at Dana-Farber Cancer Institute,Research Fellow
171,Librarian/Professor at Austin Community College,Librarian
172,Director Business Development at ASP (AgriSunPower) LLC,Director
173,Firefighter/EMT at South County Fire Department,Firefighter
175,Family Nurse Practitioner at UCHealth,Family Practitioner
178,Retired Photographer and Graphic Designer,Graphic Designer
179,"president, at napoli nissan napoli classic cars",President
180,"Business Development Director, National Renewable Energy at McCarthy Building Companies, Inc.",Energy Director
181,Pastor at New City Fellowship,Pastor
183,Senior Business Intelligence Developer at OSF HealthCare,Business Developer
184,Client Service Center Specialist at Orrstown Bank,Job Service Specialist
186,Consumer Bank Branch Manager at Citibank,Bank Manager
188,Client Services Manager at The Pampered Pup,Services Manager
191,PROSTHETIC & ORTHOTIC TECHNICIAN at Orthofit Brace & Limb,Orthotic Technician
192,Special Education Assistant at Matanuska Susitna Borough School District,Special Education Assistant
193,President & C.E.O. at J.M.R. Renovations,President
198,Software Engineer,Software Developers - Application Support Engineer
200,Convention Services Manager at Wynn Las Vegas,Convention Manager
201,Senior HR Administrator at the University at Buffalo,Administrator
202,Community Outreach,Community Outreach Coordinator
203,"Substitute Teacher at EDUStaff, LLC",Substitute
206,"Home Inspector at DAD's Home Inspections, LLC",Home Inspector
207,Project Manager at Washoe County School District,Project Manager (PM)
209,Software QA Engineer,Software Engineer
211,Employment Counseling and Litigation Attorney,Attorney
212,Product Management,Product Management Director
213,"Senior Vice President - Wealth Management, USA at UBS Financial Services Inc. Portfolio Manager Wealth Advisor",President
214,Global EPC Industry Exec◆Operations Manager◆PMO/Program/Project Expert◆Licensed GC and Real Estate Professional,Real Estate Manager
215,Seeking role as a Nurse Practitioner,Nurse Practitioner (NP)
217,Physician Assistant Certified,Certified Physician Assistant (PA-C)
219,"Paralegal at Benjamin Law Group, PL",Paralegal
221,Co-Facilitator at Parent Coach Trainers Academy,Facilitator
223,Internet Marketing Specialist,Internet Marketing Specialist
225,Senior Project Manager at HDR,Project Manager (PM)
226,General Dentist at Risas Dental and Braces,Dentist
228,"Chief, Narcotics and Organized Crime; Assistant United States Attorney at U.S. Dept. of Justice (E.D. Pa.)",Attorney
230,Administrative Assistant at Southern Cable Services,Administrative Services Assistant
234,Pathology Supervisor at WakeMed,Supervisor
235,Project Manager,Facilities Project Manager
236,Stop Motion Animator,Animator
237,Senior Technical Fellow | Project Manager Structural Thermal Analyst | Application Engineer,Application Manager
239,Training Manager | Learning and Development | Adult-Education | Product Management | Instructional Design | Implementation,Product Manager
242,Data & AI Consultant Analyst at Accenture,Data Consultant
243,"Sr. Unix Administrator at BAE Systems, Inc.",Administrator
245,Senior Sales Manager- Kissing Tree at Brookfield Residential,Sales Manager
246,Administrative Project Manager at Western National Contractors,Administrative Manager
248,Director - Middle School Programs at NYC Department of Youth & Community Development,School Director
249,Yoga Guide/ Youth Specialist,Youth Specialist
252,Education Director at The Young Storytellers Foundation,Foundation Director
253,"Senior Check Pilot, Air France-KLM",Check Pilot
254,Thermal Engineer,Thermal Systems Engineer
256,Strategic Transformation Executive | Relationship Builder | xSalesforce | xDuo Security | xSchneider Electric | Citizen of the Osage Nation,Builder
257,Recreational Therapist | Football Coach,Coach
259,"Nurse expert, Pediatric NeuroOncology Now Retired",Pediatric Nurse
260,Client Services Representative at Kings Credit Service,Client Service Representative
262,Football Coach/Science teacher at Independence School District,Coach
266,"Administrative Professional, Medical Office Wannabe, Rising Billing and Coding Specialist",Medical Coding Specialist
267,Clinical Data and Specimen Coordinator at UC San Diego Health - Moores Cancer Center,Clinical Coordinator
270,CRNA,Certified Registered Nurse Anesthetist (CRNA)
272,Electrical Administrator at Beyond Hi-Fi,Administrator
278,"Minister, Connections Director at The Village Church",Minister
279,Warehouse Area Manager II,Area Manager
282,Human Resources Administrator at IronMountain Solutions,Administrator
283,Researcher / Second Investigator at Southern Arizona Ghost and Paranormal Society SAGAPS,Paranormal Investigator
284,Vice President at Flutistry Boston,President
285,Licensed Athletic Trainer at Shoreline Orthopaedics,Athletic Trainer
286,IT Systems Administrator,Administrator
288,Student at The University of North Texas-Accounts Payable Specialist,Accounts Payable Specialist
289,Manufacturing,Industrial Production Managers - Manufacturing Coordinator
291,Medical Billing Professional with proven success in Patient Financial Service and Regional Revenue Cycle,Financial Professional
292,Event Coordinator at Gian Events,Events Coordinator
295,"Sr Director, Advanced Analytics and Automation, at TQL; Member, Analytics Expert Network at International Institute for Analytics",Network Director
296,church organist/piano teacher,Church Organist
297,Asst.Supervisor production at EQT Corporation,Supervisor
302,General Manager at Bertucci’s,General Manager (GM)
303,Speech-Language Pathology Graduate Student--,Graduate Student
308,Registered Nursing,Registered Nursing Professor (RN Professor)
309,Head of Communications & Chief Marketing Officer at Bar Harbor Bank & Trust,Bank Officer
311,Managing Attorney at Law and Mediation Offices of Elizabeth Yang,Attorney
312,Marriage and Family Therapist graduate student,Family Therapist
314,Corporate Project Manager at Grinnell Fire Protection Solution,Corporate Manager
315,Office Manager at Whole Health Dentistry,Health Manager
316,Staff UI Engineer,Staff Engineer
317,General Manager at Camrett Logistics,Logistics Manager
318,Structural Engineer I,Structural Analysis Engineer
320,Infrastructure Operations Manager at Hajoca Corporation,Gas Operations Manager
321,Front-Desk Receptionist,"Hotel, Motel, and Resort Desk Clerks - Front Desk Receptionist"
323,Doctor of Acupuncture and Oriental Medicine at AOMA Graduate School of Integrative Medicine,Acupuncture Doctor
324,Artist Management & Production,Production Artist
325,Code.org CSF Facilitator and Train the Trainer Mentor,Facilitator
326,Superintendent,City Superintendent
328,"Professor, University of Redlands",University Professor
330,Administrative Professional / Writing Consultant / Fiction Writer / Certified Grant Writer,Fiction Writer
331,Data Analyst (Systems Design Group) at Synopsys,Design Analyst
332,District Digital Performance Manager with GP Strategies at General Motors,General Manager (GM)
334,"Senior Director Finance and Funds Controller - Hercules Capital, Inc.",Finance Director
335,Interior Designer with over 15 years of experience. Specializing in kitchen and bath design.,Bath Designer
336,Food Server,Food Preparation Workers - Food Server
337,Hardware Verification Engineer at Boeing,Hardware Engineer
338,BCycle Operations Manager at Des Moines Bicycle Collective,Gas Operations Manager
340,Litigation Assistant,Litigation Legal Assistant
341,Intermediate Accountant at Tesoro,Accountant
342,Director of Faculty and Staff Development at Kansas City Kansas Community College,Staff Development Director
343,Project Manager at Penn State Applied Research Laboratory,Laboratory Manager
347,On Site Coordinator at Premier Employee Solutions,On-Site Coordinator
349,Personal Care Worker at Societys Assets,Care Worker
350,Assistant Teacher at Mountainland Head Start,Start Teacher
351,"Attorney, VZN Law",Attorney
353,Habitat Restoration Specialist at Ash Creek Forest Management,Habitat Restoration Specialist
354,COBOL Programmer,COBOL Programmer (Common Business Oriented Language Programmer)
355,Financial Advisor at Northwestern Mutual,Advisor
357,"President, Board of Directors at Chikaming Open Lands",President
360,Chief of Prevention - Retired June 2015,Chief
